target,year,coverage_value,coverage_type,coverage_area
Least Developed Countries (LDCs),2023,89.3,Population covered by a mobile-cellular network (%),Rural
Land Locked Developing Countries (LLDCs),2023,93.9,Population covered by a mobile-cellular network (%),Rural
Small Island Developing States (SIDS),2023,77.4,Population covered by a mobile-cellular network (%),Rural
Africa,2023,88.5,Population covered by a mobile-cellular network (%),Rural
Americas,2023,81.0,Population covered by a mobile-cellular network (%),Rural
Arab States,2023,93.1,Population covered by a mobile-cellular network (%),Rural
Asia-Pacific,2023,97.6,Population covered by a mobile-cellular network (%),Rural
CIS,2023,96.9,Population covered by a mobile-cellular network (%),Rural
Europe,2023,99.0,Population covered by a mobile-cellular network (%),Rural
World,2024,95.0,Population covered by a mobile-cellular network (%),Rural
Low-income,2024,86.1,Population covered by a mobile-cellular network (%),Rural
Lower-middle-income,2024,96.2,Population covered by a mobile-cellular network (%),Rural
Upper-middle-income,2024,96.5,Population covered by a mobile-cellular network (%),Rural
High-income,2024,98.0,Population covered by a mobile-cellular network (%),Rural
Least Developed Countries (LDCs),2024,89.9,Population covered by a mobile-cellular network (%),Rural
Land Locked Developing Countries (LLDCs),2024,94.3,Population covered by a mobile-cellular network (%),Rural
Small Island Developing States (SIDS),2024,77.6,Population covered by a mobile-cellular network (%),Rural
Africa,2024,89.1,Population covered by a mobile-cellular network (%),Rural
Americas,2024,82.4,Population covered by a mobile-cellular network (%),Rural
Arab States,2024,93.6,Population covered by a mobile-cellular network (%),Rural
Asia-Pacific,2024,97.6,Population covered by a mobile-cellular network (%),Rural
CIS,2024,97.5,Population covered by a mobile-cellular network (%),Rural
Europe,2024,99.0,Population covered by a mobile-cellular network (%),Rural
World,2015,78,Population covered by at least a 3G mobile network (%),Total
Low-income,2015,41.8,Population covered by at least a 3G mobile network (%),Total
Lower-middle-income,2015,68.1,Population covered by at least a 3G mobile network (%),Total
Upper-middle-income,2015,86.8,Population covered by at least a 3G mobile network (%),Total
High-income,2015,96.1,Population covered by at least a 3G mobile network (%),Total
Least Developed Countries (LDCs),2015,53.2,Population covered by at least a 3G mobile network (%),Total
Land Locked Developing Countries (LLDCs),2015,49.6,Population covered by at least a 3G mobile network (%),Total
Small Island Developing States (SIDS),2015,61.7,Population covered by at least a 3G mobile network (%),Total
Africa,2015,49.6,Population covered by at least a 3G mobile network (%),Total
Americas,2015,91.4,Population covered by at least a 3G mobile network (%),Total
Arab States,2015,74.9,Population covered by at least a 3G mobile network (%),Total
Asia-Pacific,2015,79.4,Population covered by at least a 3G mobile network (%),Total
CIS,2015,70.1,Population covered by at least a 3G mobile network (%),Total
Europe,2015,94.3,Population covered by at least a 3G mobile network (%),Total
World,2016,84.2,Population covered by at least a 3G mobile network (%),Total
Low-income,2016,48.9,Population covered by at least a 3G mobile network (%),Total
Lower-middle-income,2016,78.0,Population covered by at least a 3G mobile network (%),Total
Upper-middle-income,2016,92.1,Population covered by at least a 3G mobile network (%),Total
High-income,2016,96.6,Population covered by at least a 3G mobile network (%),Total
Least Developed Countries (LDCs),2016,61.9,Population covered by at least a 3G mobile network (%),Total
Land Locked Developing Countries (LLDCs),2016,58.0,Population covered by at least a 3G mobile network (%),Total
Small Island Developing States (SIDS),2016,64.0,Population covered by at least a 3G mobile network (%),Total
Africa,2016,57.5,Population covered by at least a 3G mobile network (%),Total
Americas,2016,92.8,Population covered by at least a 3G mobile network (%),Total
Arab States,2016,83.6,Population covered by at least a 3G mobile network (%),Total
Asia-Pacific,2016,86.8,Population covered by at least a 3G mobile network (%),Total
CIS,2016,74.3,Population covered by at least a 3G mobile network (%),Total
Europe,2016,98.0,Population covered by at least a 3G mobile network (%),Total
World,2017,87.7,Population covered by at least a 3G mobile network (%),Total
Low-income,2017,56.1,Population covered by at least a 3G mobile network (%),Total
Lower-middle-income,2017,82.8,Population covered by at least a 3G mobile network (%),Total
Upper-middle-income,2017,95.0,Population covered by at least a 3G mobile network (%),Total
High-income,2017,96.9,Population covered by at least a 3G mobile network (%),Total
Least Developed Countries (LDCs),2017,67.7,Population covered by at least a 3G mobile network (%),Total
Land Locked Developing Countries (LLDCs),2017,64.6,Population covered by at least a 3G mobile network (%),Total
Small Island Developing States (SIDS),2017,72.7,Population covered by at least a 3G mobile network (%),Total
Africa,2017,62.6,Population covered by at least a 3G mobile network (%),Total
Americas,2017,94.0,Population covered by at least a 3G mobile network (%),Total
Arab States,2017,87.0,Population covered by at least a 3G mobile network (%),Total
Asia-Pacific,2017,90.9,Population covered by at least a 3G mobile network (%),Total
CIS,2017,80.0,Population covered by at least a 3G mobile network (%),Total
Europe,2017,98.2,Population covered by at least a 3G mobile network (%),Total
World,2018,90.6,Population covered by at least a 3G mobile network (%),Total
Low-income,2018,60.6,Population covered by at least a 3G mobile network (%),Total
Lower-middle-income,2018,88.1,Population covered by at least a 3G mobile network (%),Total
Upper-middle-income,2018,96.8,Population covered by at least a 3G mobile network (%),Total
High-income,2018,97.2,Population covered by at least a 3G mobile network (%),Total
Least Developed Countries (LDCs),2018,71.9,Population covered by at least a 3G mobile network (%),Total
Land Locked Developing Countries (LLDCs),2018,68.9,Population covered by at least a 3G mobile network (%),Total
Small Island Developing States (SIDS),2018,79.9,Population covered by at least a 3G mobile network (%),Total
Africa,2018,70.3,Population covered by at least a 3G mobile network (%),Total
Americas,2018,94.7,Population covered by at least a 3G mobile network (%),Total
Arab States,2018,89.8,Population covered by at least a 3G mobile network (%),Total
Asia-Pacific,2018,93.9,Population covered by at least a 3G mobile network (%),Total
CIS,2018,81.0,Population covered by at least a 3G mobile network (%),Total
Europe,2018,98.6,Population covered by at least a 3G mobile network (%),Total
World,2019,92.6,Population covered by at least a 3G mobile network (%),Total
Low-income,2019,68.1,Population covered by at least a 3G mobile network (%),Total
Lower-middle-income,2019,91.0,Population covered by at least a 3G mobile network (%),Total
Upper-middle-income,2019,97.2,Population covered by at least a 3G mobile network (%),Total
High-income,2019,98.3,Population covered by at least a 3G mobile network (%),Total
Least Developed Countries (LDCs),2019,74.4,Population covered by at least a 3G mobile network (%),Total
Land Locked Developing Countries (LLDCs),2019,71.7,Population covered by at least a 3G mobile network (%),Total
Small Island Developing States (SIDS),2019,80.1,Population covered by at least a 3G mobile network (%),Total
Africa,2019,73.7,Population covered by at least a 3G mobile network (%),Total
Americas,2019,94.5,Population covered by at least a 3G mobile network (%),Total
Arab States,2019,91.2,Population covered by at least a 3G mobile network (%),Total
Asia-Pacific,2019,96.3,Population covered by at least a 3G mobile network (%),Total
CIS,2019,87.8,Population covered by at least a 3G mobile network (%),Total
Europe,2019,98.7,Population covered by at least a 3G mobile network (%),Total
World,2020,93.1,Population covered by at least a 3G mobile network (%),Total
Low-income,2020,70.1,Population covered by at least a 3G mobile network (%),Total
Lower-middle-income,2020,92.1,Population covered by at least a 3G mobile network (%),Total
Upper-middle-income,2020,97.1,Population covered by at least a 3G mobile network (%),Total
High-income,2020,98.4,Population covered by at least a 3G mobile network (%),Total
Least Developed Countries (LDCs),2020,76.1,Population covered by at least a 3G mobile network (%),Total
Land Locked Developing Countries (LLDCs),2020,74.1,Population covered by at least a 3G mobile network (%),Total
Small Island Developing States (SIDS),2020,80.7,Population covered by at least a 3G mobile network (%),Total
Africa,2020,75.9,Population covered by at least a 3G mobile network (%),Total
Americas,2020,94.6,Population covered by at least a 3G mobile network (%),Total
Arab States,2020,92.3,Population covered by at least a 3G mobile network (%),Total
Asia-Pacific,2020,96.5,Population covered by at least a 3G mobile network (%),Total
CIS,2020,89.9,Population covered by at least a 3G mobile network (%),Total
Europe,2020,98.7,Population covered by at least a 3G mobile network (%),Total
World,2021,93.8,Population covered by at least a 3G mobile network (%),Total
Low-income,2021,70.6,Population covered by at least a 3G mobile network (%),Total
Lower-middle-income,2021,93.3,Population covered by at least a 3G mobile network (%),Total
Upper-middle-income,2021,97.2,Population covered by at least a 3G mobile network (%),Total
High-income,2021,99.3,Population covered by at least a 3G mobile network (%),Total
Least Developed Countries (LDCs),2021,76.7,Population covered by at least a 3G mobile network (%),Total
Land Locked Developing Countries (LLDCs),2021,76.1,Population covered by at least a 3G mobile network (%),Total
Small Island Developing States (SIDS),2021,81.2,Population covered by at least a 3G mobile network (%),Total
Africa,2021,79.1,Population covered by at least a 3G mobile network (%),Total
Americas,2021,94.7,Population covered by at least a 3G mobile network (%),Total
Arab States,2021,91.3,Population covered by at least a 3G mobile network (%),Total
Asia-Pacific,2021,96.6,Population covered by at least a 3G mobile network (%),Total
CIS,2021,95.5,Population covered by at least a 3G mobile network (%),Total
Europe,2021,99.0,Population covered by at least a 3G mobile network (%),Total
World,2022,94.5,Population covered by at least a 3G mobile network (%),Total
Low-income,2022,74.9,Population covered by at least a 3G mobile network (%),Total
Lower-middle-income,2022,94.0,Population covered by at least a 3G mobile network (%),Total
Upper-middle-income,2022,97.6,Population covered by at least a 3G mobile network (%),Total
High-income,2022,99.3,Population covered by at least a 3G mobile network (%),Total
Least Developed Countries (LDCs),2022,79.6,Population covered by at least a 3G mobile network (%),Total
Land Locked Developing Countries (LLDCs),2022,80.9,Population covered by at least a 3G mobile network (%),Total
Small Island Developing States (SIDS),2022,82.8,Population covered by at least a 3G mobile network (%),Total
